description,amount,category
"CARD **4811 used at Unacademy for Rs.17,692",17691.57,education
"hdfc mf: sip of rs 21,595.25 debited",21595.25,investment
"Blinkit - Rs.2,665 paid via UPI",2665.07,groceries
"Rs 47,165.34/- debited Ixigo Axis",47165.34,travel
Kotak Debit: Rs 620/- to notion@axl UPI,620.24,subscription
"Payment of Rs 5,825.06 to Reliance Trends successful",5825.06,shopping_offline
bob: rs 4015/- debited from a/c **2824 for f45 training,4015.01,health_fitness
"PNB: Rs.3,791.82 paid to Shell via UPI Ref 793563667",3791.82,transport_fuel
"IndusInd: Rs.1,069 paid to Mojo Pizza via UPI Ref 897005281",1069.01,food_delivery
ICICI: Rs..2387 paid to Anytime Fitness via UPI Ref 896680642,2386.58,health_fitness
"phonepe: rs 1,718 paid to jio fiber",1717.96,bills_telecom
CARD **4657 used at EatFit for Rs.1153/-,1153.21,food_delivery
"Payment of Rs 81,312 to content writing successful",81311.96,freelance
Monthly rent Rs 46378 paid via UPI,46378.48,rent
BOB: Rs 228 debited for Zee5 purchase,227.54,entertainment
rs 42440/- debited coursera icici,42439.64,education
Payment of Rs 1077/- to Spar Hypermarket successful,1077.4,groceries
"Salary credited Rs 288,163 from Google India",288163.19,salary
BOB: RS.3952/- PAID TO GOLDS GYM VIA UPI REF 584567424,3952.02,health_fitness
Kotak: Rs 3402 debited for BigBasket purchase,3402.45,groceries
Rs 222.52/- debited Wendy's Canara,222.52,food_delivery
Kotak UPI: Rs 3300/- to fernsnpetals@axisbank,3300.31,gifts
PNB Alert: INR 357 spent at Dunzo,356.59,groceries
IndusInd Debit: Rs 2369 to spencers@sbi UPI,2368.72,groceries
"HDFC Alert: INR 1,258 spent at Dunzo Daily",1257.67,food_delivery
ICICI SMS: INR 1387/- debited UPI txn to lenskart@hdfcbank,1387.3,shopping_online
"monthly rent rs 40,322 paid via upi",40322.01,rent
"BOB CC: Parking Rs 3,915.93",3915.93,other
PhonePe: Rs 2402/- paid to JioCinema,2401.94,entertainment
"Investment: Rs 36,897.52 to ICICI Direct via UPI",36897.52,investment
"ICICI SMS: INR 46,921.71 DEBITED UPI TXN TO PROJECTPAYME@ICICI",46921.71,freelance
"Payment of Rs 6,301 to Bewakoof successful",6300.62,shopping_online
SBI: Rs. 4335/- debited for Metro Cash purchase,4334.83,groceries
"CANARA DEBIT: RS 8,799.94 TO FLIPKART@AXL UPI",8799.94,shopping_online
CARD **1488 used at Municipal Water for Rs.912/-,911.56,bills_water
ICICI: Rs 533.44 debited from a/c **4811 for ChatGPT Plus,533.44,subscription
indusind: rs.4844/- paid to crossfit via upi ref 907292889,4843.56,health_fitness
"BOB CC: RAKHI GIFT RS 1,712",1711.78,gifts
"ICICI: Rs 16,018 debited for Hero FinCorp EMI",16017.77,emi
PhonePe: Rs 3446 paid to Enrich Salon,3446.01,personal_care
CARD **9928 used at PSPCL for Rs.2984,2983.59,bills_electricity
"Investment: Rs 82,437.62 to DSP MF via UPI",82437.62,investment
"Bajaj Finance EMI: EMI Rs 26,975.07 debited",26975.07,emi
salary for apr - rs 39029 from bajaj auto,39029.23,salary
"Salary for Jan - Rs 30,405 from TCS",30405.13,salary
Auto debit Rs 31581 Bajaj Finance EMI loan account,31580.78,emi
Kotak UPI: Rs 27916/- to fiverr@icici,27916.45,freelance
Jaipur Water - Rs.451 paid via UPI,451.29,bills_water
Kotak SMS: INR 320.31 debited UPI txn to tataplay@icici,320.31,bills_telecom
Kotak: Rs.3230 paid to Zepto via UPI Ref 337135066,3229.69,groceries
ICICI SMS: INR 1934 debited UPI txn to naturesbaske@paytm,1934.08,groceries
ICICI: Rs 25814/- debited for Bajaj Auto Finance EMI,25814.26,emi
"PNB SMS: INR 22,169.57 debited UPI txn to scaleracadem@axl",22169.57,education
"Axis SMS: INR 1,093.23 debited UPI txn to eatfit@okaxis",1093.23,food_delivery
"Canara Debit: Rs 2,712 to o2spa@ybl UPI",2712.12,personal_care
Canara CC: Barbeque Nation Rs 1314/-,1314.5,food_delivery
HDFC: Rs.540.61 paid to Zomato via UPI Ref 502482554,540.61,food_delivery
Kotak CC: La Pinos Rs 527.94,527.94,food_delivery
Payment of Rs 52964 to content writing successful,52964.21,freelance
"Rs 1,757.35/- debited Uber Moto HDFC",1757.35,transport_ride
BOB: Rs.1451 paid to Cult.fit via UPI Ref 512388297,1450.55,health_fitness
card **2824 used at air india for rs.30448/-,30447.6,travel
"Salary credited Rs 41,749 from Microsoft India",41748.76,salary
Kotak SMS: INR 6613 debited UPI txn to decathlon@okhdfcbank,6613.14,shopping_offline
Rs 538.69/- debited Adani Electricity Axis,538.69,bills_electricity
PHONEPE: RS 502/- PAID TO FITNESS FIRST,501.59,health_fitness
"Kotak Alert: INR 2,841 spent at Thai Spa",2841.29,personal_care
"Auto debit Rs 14,280.06 SBI Home Loan loan account",14280.06,emi
"ET Money: SIP of Rs 25,502.48 debited",25502.48,investment
Yes Bank CC: Fitness First Rs 3896/-,3895.52,health_fitness
"Zerodha: SIP of Rs 52,266 debited",52265.53,investment
"Canara: Rs 77,213 debited from a/c **3286 for development work",77213.26,freelance
"CARD **1409 used at iCloud for Rs..1,491.62",1491.62,subscription
axis cc: mx player rs 1652/-,1651.6,entertainment
YES BANK CC: INDIAN OIL RS 438.25,438.25,transport_fuel
PHONEPE: RS 3934 PAID TO HEALTHIFYME,3934.28,health_fitness
CARD **9928 USED AT MERU FOR RS.724/-,724.13,transport_ride
PhonePe: Rs 8465 paid to Meesho,8464.67,shopping_online
Paid Rs 825 to Dropbox via GPay,824.86,subscription
INDUSIND: RS 709.26 DEBITED FROM A/C **5012 FOR NOTION,709.26,subscription
"CARD **9279 used at Metro Shoes for Rs.11,039",11038.84,shopping_offline
Salary credited Rs 212218 from TCS,212217.81,salary
BOB UPI: Rs 529.58 to chennaimetro@hdfcbank,529.58,bills_water
"PhonePe: Rs 3,155.75 paid to Bodycraft",3155.75,personal_care
Canara Debit: Rs 2059/- to snapfitness@axisbank UPI,2058.65,health_fitness
"sbi: rs 19,220 debited from a/c **4257 for peter england",19220.1,shopping_offline
"IndusInd Debit: Rs 1,046 to pcmcwater@okhdfcbank UPI",1045.83,bills_water
Lifestyle - Rs.14479/- paid via UPI,14478.86,shopping_offline
"AUTO DEBIT RS 7,351 HDFC HOME LOAN LOAN ACCOUNT",7350.81,emi
HDFC Alert: INR 665.28 spent at O2 Spa,665.28,personal_care
NIPPON MF - RS 52069/- INVESTED IN MUTUAL FUND,52068.6,investment
"SBI: Rs 14,355 debited for Samsung Finance EMI",14355.1,emi
"ICICI: Rs.33,362 paid to BYJUS via UPI Ref 911398262",33361.52,education
Rs 1787/- debited ACT Fibernet ICICI,1786.58,bills_telecom
"indusind: rs 1,971 debited for uber auto purchase",1971.46,transport_ride
card **2424 used at amazon.in for rs.14640,14639.56,shopping_online
salary credited rs 285754 from reliance industries,285754.25,salary
Paid Rs 1941 to Milk Basket via GPay,1940.66,groceries
UPI: Rs 5726/- to medanta@icici for purchase,5726.41,health_medical
"Torrent Power - Rs.2,881.54 paid via UPI",2881.54,bills_electricity
"Yes Bank CC: Canva Pro Rs 1,945",1945.49,subscription
"PhonePe: Rs 3,918.25 paid to F45 Training",3918.25,health_fitness
"PNB Debit: Rs 4,821 to yogahouse@sbi UPI",4821.08,health_fitness
Canara Alert: INR 520 spent at D2H,520.4,bills_telecom
"BESCOM - Rs.3,866 paid via UPI",3865.53,bills_electricity
Canara: Rs 440/- debited for Thai Spa purchase,439.57,personal_care
IndusInd Alert: INR 515 spent at ChatGPT Plus,515.33,subscription
"Coding Ninjas - Rs.24,793 paid via UPI",24793.02,education
Axis Alert: INR 2430/- spent at Cash deposit,2429.66,other
"PNB Credit: Rs 81,340.00 NEFT-HDFC Bank-SALARY",81340.0,salary
SBI Alert: INR 592/- spent at BESCOM,592.16,bills_electricity
"YES BANK DEBIT: RS 4,288 TO DELHIVERY@SBI UPI",4287.89,other
"BOB Alert: INR 7,678.25 spent at Wedding gift",7678.25,gifts
HDFC SMS: INR 3103 DEBITED UPI TXN TO ANNIVERSARYG@AXL,3103.41,gifts
SBI: Rs 16375/- debited from a/c **1488 for Aakash Institute,16374.58,education
Investment: Rs 3027/- to Motilal Oswal via UPI,3026.88,investment
"UPI: Rs 7,492.50 to cashdeposit@kotak for purchase",7492.5,other
kotak sms: inr 293 debited upi txn to municipalwat@paytm,293.3,bills_water
"ICICI CC: Rapido Bike Rs 1,777",1776.51,transport_ride
BOB SMS: INR 136.60 dbtd UPI txn to paradisebiry@kotak,136.6,food_delivery
"DSP MF - Rs 15,922.58 invested in mutual fund",15922.58,investment
BOB SMS: INR 4860 debited UPI txn to urbancompany@sbi,4860.31,personal_care
Axis: Rs 770 debited from a/c **2535 for Dunzo Daily,769.61,food_delivery
Bajaj Finance EMI: EMI Rs 29316/- debited,29315.88,emi
Axis: Rs 64216 debited for Angel One MF purchase,64215.57,investment
UPI: Rs 716.81 to chennaimetro@okaxis for purchase,716.81,bills_water
"PhonePe: Rs 4,907.81 paid to Xerox",4907.81,other
Canara UPI: Rs 1038/- to box8@kotak,1038.27,food_delivery
"Payment of Rs 1,389 to Uber Moto successful",1389.04,transport_ride
"PNB: Rs 30,280 NEFT to Office rent",30279.85,rent
"PNB: Rs 4,286.15 debited for TANGEDCO purchase",4286.15,bills_electricity
"Kuvera: SIP of Rs 10,445 debited",10444.6,investment
upi: rs 1916/- to blusmart@axl for purchase,1915.61,transport_ride
monthly salary credit inr 200972 icici bank,200971.93,salary
"Spa - Rs.4,801.23 paid via UPI",4801.23,personal_care
"BOB: Rs 7,375 debited from a/c **1520 for TATA Power",7375.36,bills_electricity
NEFT TRANSFER - RS.65 PAID VIA UPI,64.88,other
Bajaj Finance EMI: EMI Rs 15722/- debited,15721.72,emi
"CARD **2535 used at YouTube Premium for Rs.2,445.63",2445.63,entertainment
BOB UPI: Rs 4411 to weddinggift@sbi,4410.91,gifts
"Miscellaneous - Rs.5,383.34 paid via UPI",5383.34,other
PAYMENT OF RS 211 TO FERNS N PETALS SUCCESSFUL,210.68,gifts
ICICI CC: Pune Municipal Water Rs 1871/-,1871.05,bills_water
CARD **4582 used at Dunzo Daily for Rs.550,549.85,food_delivery
"CARD **4582 used at client payment for Rs.57,018.56",57018.56,freelance
phonepe: rs 187/- paid to box8,186.85,food_delivery
Salary credited Rs. 112443/- from HDFC Bank,112442.58,salary
"UPI: RS 17,073 TO SHOPPERSSTOP@AXL FOR PURCHASE",17073.47,shopping_offline
Canara UPI: Rs 9579/- to shoppersstop@okhdfcbank,9578.51,shopping_offline
"HDFC: Rs 24,104.22 debited for Tata Capital EMI EMI",24104.22,emi
"Monthly rent Rs 43,047.95 paid via UPI",43047.95,rent
"axis cc: natures basket rs 4,101",4100.62,groceries
"Yes Bank: Rs.1,016.16 paid to Dunzo via UPI Ref 567059305",1016.16,transport_ride
"ICICI UPI: Rs 1,579 to ajio@sbi",1579.21,shopping_online
ICICI: Rs 896 debited from a/c **3286 for Grammarly,896.33,subscription
"BOB: Rs 5,537 debited for HDFC Home Loan EMI",5537.01,emi
"hdfc sms: inr 9,439.00 debited upi txn to easemytrip@icici",9439.0,travel
"IndusInd CC: IRCTC Rs 26,638",26637.75,travel
Office rent payment Rs 12431/- for Aug,12431.42,rent
UPI: Rs 627 to hmwssb@paytm for purchase,627.05,bills_water
"Paid Rs 1,356 to Notion via GPay",1356.4,subscription
sbi debit: rs 1571/- to vivodafone@hdfcbank upi,1570.57,bills_telecom
"Yes Bank CC: HP Gas Rs 1,793",1793.47,transport_fuel
"CANARA: RS 8,592 DEBITED FROM A/C **4657 FOR AMAZON GIFT",8591.9,gifts
HDFC UPI: Rs 501 to bwssb@kotak,501.03,bills_water
"BOB Credit: Rs 67,146.86 NEFT-HDFC Bank-SALARY",67146.86,salary
CARD **4657 used at Chaayos for Rs.1070/-,1070.04,food_delivery
Kotak SMS: INR 1325/- debited UPI txn to box8@kotak,1325.39,food_delivery
IndusInd Alert: INR 16748/- spent at Decathlon,16748.47,shopping_offline
Yes Bank CC: Hathway Rs 655,655.0,bills_telecom
"SBI Alert: INR 6,815 spent at Chumbak",6814.57,shopping_online
UPI: Rs 8021 to metroshoes@axisbank for purchase,8020.76,shopping_offline
PNB: Rs.4418 paid to Golds Gym via UPI Ref 902378486,4418.26,health_fitness
"Axis: Rs..1,531.67 paid to BWSSB via UPI Ref 743281527",1531.67,bills_water
PNB Credit: Rs 73190/- NEFT-Cognizant-SALARY,73190.49,salary
Salary credited Rs 159197/- from Cognizant,159197.38,salary
"phonepe: rs 1,291.74 paid to chaayos",1291.74,food_delivery
BOB UPI: Rs 486/- to hathway@icici,485.68,bills_telecom
"UPI: Rs 2,306 to bookmyshow@icici for purchase",2305.88,entertainment
PNB SMS: INR 8860/- debited UPI txn to narayanaheal@ybl,8859.55,health_medical
BOB: Rs.315.01 paid to BWSSB via UPI Ref 197116745,315.01,bills_water
card **4657 used at pune municipal water for rs.290,290.44,bills_water
BOB UPI: Rs. 980/- to bsesyamuna@icici,979.78,bills_electricity
BOB CC: NEFT TRANSFER RS 4584,4584.06,other
PNB Credit: Rs 187477 NEFT-Google India-SALARY,187476.75,salary
ICICI SMS: INR 454 debited UPI txn to hmwssb@axisbank,454.16,bills_water
Canara SMS: INR 622.91 debited UPI txn to punemunicipa@ybl,622.91,bills_water
"Loan EMI Rs 28,145.44 paid to Bajaj Auto Finance",28145.44,emi
"ICICI Alert: INR 17,454.52 spent at Narayana Health",17454.52,health_medical
"AXIS: RS.68,294.26 PAID TO 99DESIGNS VIA UPI REF 259687864",68294.26,freelance
"PhonePe: Rs 17,367 paid to Physics Wallah",17367.49,education
"Scaler Academy - Rs.16,178 paid via UPI",16177.81,education
"Axis Debit: Rs 3,537 to ylgsalon@icici UPI",3536.68,personal_care
"SBI CC: MX Player Rs 1,055.33",1055.33,entertainment
"Axis Credit: Rs 257,030.39 NEFT-Amazon India-SALARY",257030.39,salary
"CARD **9935 used at Ola for Rs.1,880",1879.85,transport_ride
"Rs 3,306/- debited YLG Salon HDFC",3305.68,personal_care
Yes Bank: Rs. 1196/- debited from a/c **2535 for Zee5,1196.45,entertainment
"SBI CC: DRY CLEANING RS 9,652.04",9652.04,other
IndusInd: Rs.682 paid to Thai Spa via UPI Ref 457776706,682.42,personal_care
"Canara: Rs.78,393 paid to PeoplePerHour via UPI Ref 223853455",78393.02,freelance
"Rs 1,677.77/- debited BSES Rajdhani SBI",1677.77,bills_electricity
Yes Bank Debit: Rs 1232 to bodycraft@kotak UPI,1231.76,personal_care
Auto debit Rs 35288 Samsung Finance loan account,35287.65,emi
"PhonePe: Rs 1,857.68 paid to Naturals Salon",1857.68,personal_care
"ICICI: RS 1,368 DEBITED FROM A/C **1409 FOR ACT FIBERNET",1368.2,bills_telecom
Kotak: Rs.519.34 paid to Tata Play via UPI Ref 188295994,519.34,bills_telecom
SBI CC: Pepperfry Rs. 12617/-,12616.78,shopping_online
"UPI: Rs 2,209.43 to indanegas@kotak for purchase",2209.43,transport_fuel
"UPI: Rs 1,500.35 to beautyparlor@kotak for purchase",1500.35,personal_care
"Yes Bank: Rs.3,452 paid to Total Energies via UPI Ref 913025234",3452.17,transport_fuel
"BOB SMS: INR 4,252 debited UPI txn to bbdaily@axisbank",4251.76,groceries
"Cleartrip - Rs.1,056.16 paid via UPI",1056.16,travel
"SBI: Rs.3,795 paid to Bharat Petroleum via UPI Ref 515071728",3795.01,transport_fuel
"AXIS: RS 2,440 DEBITED FROM A/C **7912 FOR BB DAILY",2439.5,groceries
Rs 330/- debited Apple TV+ IndusInd,329.6,entertainment
HDFC: Rs 241.39 debited from a/c **5012 for Google One,241.39,subscription
Payment of Rs 7123 to Christmas gift successful,7123.39,gifts
"PNB Credit: Rs 71,150 NEFT-Cognizant-SALARY",71149.78,salary
"Yes Bank Debit: Rs 1,304 to theobroma@paytm UPI",1303.62,food_delivery
"SBI ALERT: INR 7,885 SPENT AT RAKHI GIFT",7884.55,gifts
SBI Debit: Rs 634 to municipalwat@icici UPI,634.16,bills_water
phonepe: rs 584 paid to healthifyme,584.24,health_fitness
"Axis: Rs 64,339 debited for client payment purchase",64338.83,freelance
"CANARA CC: MEDPLUS RS 1,567",1567.43,health_medical
Rs 275/- debited FASTag Axis,274.6,other
PhonePe: Rs 4967/- paid to CSPDCL,4966.62,bills_electricity
IndusInd Alert: INR 1376 spent at Microsoft 365,1375.88,subscription
pnb sms: inr 41592 debited upi txn to oyo@axisbank,41591.68,travel
ICICI: Rs 2942 dbtd for Cult.fit purchase,2942.37,health_fitness
Yes Bank: Rs 229 debited from a/c **5506 for Porter,228.83,transport_ride
"RAPIDO BIKE - RS.2,138 PAID VIA UPI",2138.44,transport_ride
HDFC: Rs.24774 paid to Fortis Hospital via UPI Ref 182261164,24774.37,health_medical
PNB: Rs.14879/- paid to Apollo Pharmacy via UPI Ref 444066478,14879.48,health_medical
"CARD **1488 used at Canva Pro for Rs.1,786.01",1786.01,subscription
"monthly rent rs 40,171.52 paid via upi",40171.52,rent
"UPI: Rs 4,792.17 to iocl@ybl for purchase",4792.17,transport_fuel
"Rs 28,842/- debited IndiGo HDFC",28841.61,travel
"Urban Ladder - Rs.9,258.67 paid via UPI",9258.67,shopping_online
Kotak Debit: Rs 11144/- to medplus@sbi UPI,11144.19,health_medical
"HDFC: RS 26,919 DEBITED FOR BAJAJ AUTO FINANCE EMI",26918.91,emi
BOB Debit: Rs 220/- to haldirams@paytm UPI,219.75,food_delivery
Kotak Debit: Rs 954 to uber@hdfcbank UPI,953.85,transport_ride
"Rs 18,317.68/- debited Dr Lal PathLabs SBI",18317.68,health_medical
"ICICI UPI: Rs 1,364.36 to physicswalla@okaxis",1364.36,education
"PhonePe: Rs 4,976.34 paid to Ferns N Petals",4976.34,gifts
CARD **2679 used at McDonalds for Rs.1194,1194.16,food_delivery
"Canara Debit: Rs 13,058 to noise@sbi UPI",13057.78,shopping_online
1mg - Rs.21922/- paid via UPI,21922.5,health_medical
Rs 9447/- debited Allen Career PNB,9446.52,education
"UPI: Rs 1,102 to theobroma@sbi for purchase",1101.95,food_delivery
BOB Debit: Rs 10766/- to titaneyeplus@kotak UPI,10765.74,shopping_offline
"Rent transfer Rs 38,000 to landlord",38000.09,rent
Paid Rs 6114 to DTDC via GPay,6113.65,other
Rs 365/- debited ACT Fibernet HDFC,365.27,bills_telecom
SBI SMS: INR 1750/- DEBITED UPI TXN TO XEROX@AXISBANK,1749.76,other
Canara: Rs 200/- debited from a/c **9928 for Strava,199.89,subscription
Axis Debit: Rs. 1389/- to wheelseye@ybl UPI,1389.07,transport_ride
"UPI: Rs 2,097.78 to fastag@axl for purchase",2097.78,other
Payment of Rs 3334 to Nykaa successful,3333.62,personal_care
"Auto debit Rs 18,104 Bajaj Auto Finance loan account",18104.17,emi
"UPI: RS 1,935.87 TO JAIPURWATER@ICICI FOR PURCHASE",1935.87,bills_water
SBI ALERT: INR 4868/- SPENT AT JAWED HABIB,4867.89,personal_care
Rs 2545/- debited Reliance Fresh BOB,2545.32,groceries
HDFC UPI: Rs 4128 to fernsnpetals@okhdfcbank,4127.61,gifts
Auto debit Rs 16448/- SBI Home Loan loan account,16447.88,emi
BOB: Rs 781 debited for Chumbak purchase,780.92,shopping_online
Axis UPI: Rs. 6474 to igp@hdfcbank,6474.15,gifts
"CARD **2424 used at GeeksforGeeks for Rs.31,496",31496.43,education
"monthly salary credit inr 47,225.15 flipkart",47225.15,salary
"SBI DEBIT: RS 2,136.66 TO CINEPOLIS@KOTAK UPI",2136.66,entertainment
BWSSB - Rs.414 paid via UPI,413.71,bills_water
"IndusInd Debit: Rs 5,624.74 to anniversaryg@okaxis UPI",5624.74,gifts
Paid Rs 3336 to Total Energies via GPay,3336.02,transport_fuel
"PAID RS 4,688 TO FORTIS HOSPITAL VIA GPAY",4687.96,health_medical
IOCL - Rs.2121 paid via UPI,2121.2,transport_fuel
Rs 7907/- debited Airbnb HDFC,7907.27,travel
PNB SMS: INR 3315 debited UPI txn to salon@sbi,3315.37,personal_care
YES BANK DEBIT: RS 2745 TO SNAPFITNESS@SBI UPI,2744.56,health_fitness
Rs 1006/- debited Apple Music IndusInd,1005.82,subscription
phonepe: rs 721/- paid to taco bell,721.11,food_delivery
"Axis CC: Bewakoof Rs 13,335.29",13335.29,shopping_online
HDFC SMS: INR 657 debited UPI txn to googleone@axl,657.0,subscription
"IndusInd: Rs 8,339 debited for Meesho purchase",8339.49,shopping_online
SALARY CREDITED RS 76685/- FROM MICROSOFT INDIA,76685.23,salary
"PhonePe: Rs 14,724.19 paid to Cipla Health",14724.19,health_medical
"Axis: Rs 32,571 debited from a/c **4657 for Vedantu",32570.81,education
SBI SMS: INR 5563/- debited UPI txn to fastag@axisbank,5563.37,other
"UPI: Rs 1,220.37 to zee5@sbi for purchase",1220.37,entertainment
"CARD **4257 used at Titan Eye Plus for Rs.10,935",10935.37,shopping_offline
"Room rent payment Rs 16,966 for Oct",16966.32,rent
SBI Home Loan: EMI Rs 34822 debited,34821.78,emi
"SIP DEBIT RS 60,239.05 AXIS MF FOLIO",60239.05,investment
CARD **2424 used at Ratnadeep for Rs.334,334.24,groceries
Kotak: Rs 1037 debited from a/c **3286 for Parking,1037.13,other
"BOB UPI: Rs 1,271.84 to allencareer@paytm",1271.84,education
"Axis Alert: INR 8,092.84 spent at Housewarming gift",8092.84,gifts
CARD **9279 used at Medanta for Rs.12430,12430.09,health_medical
ICICI: Rs 4321/- debited from a/c **9279 for O2 Spa,4321.18,personal_care
"Rs 3,063.84/- debited Thyrocare PNB",3063.84,health_medical
"kotak sms: inr 1,234 debited upi txn to miscellaneou@paytm",1233.76,other
UPI: Rs 4944 to indianoil@axl for purchase,4943.74,transport_fuel
Paid Rs 89020/- to project payment via GPay,89020.0,freelance
"Canara UPI: Rs 1,143.43 to canvapro@kotak",1143.43,subscription
SBI: Rs 554 debited for Strava purchase,554.18,subscription
BOB: Rs 3386/- debited from a/c **4657 for Reliance Petrol,3385.81,transport_fuel
UPI: Rs. 1616/- to dishtv@axisbank for purchase,1616.35,bills_telecom
"Canara: Rs.4,226 paid to IOCL via UPI Ref 842833609",4226.32,transport_fuel
"Kotak: Rs 18,501.92 debited for Tata Capital EMI EMI",18501.92,emi
Salary for Jan - Rs 263542 from Bharti Airtel,263541.7,salary
Axis: Rs 23606/- debited from a/c **2679 for Toptal,23606.33,freelance
"PhonePe: Rs 2,279.51 paid to Kaya Skin",2279.51,personal_care
"UPI: RS 2,224.67 TO METROSHOES@OKAXIS FOR PURCHASE",2224.67,shopping_offline
IndusInd Debit: Rs 317 to central@paytm UPI,316.61,shopping_offline
Chennai Metro Water - Rs.112/- paid via UPI,112.2,bills_water
"rs 15,057/- debited peter england yes bank",15057.09,shopping_offline
"YES BANK: RS 15,684.27 DEBITED FOR IDFC FIRST EMI EMI",15684.27,emi
"SBI Alert: INR 45,751.48 spent at BYJUS",45751.48,education
PhonePe: Rs 3011/- paid to Bharat Petroleum,3010.74,transport_fuel
"Motilal Oswal - Rs 18,588 invested in mutual fund",18588.03,investment
Canara: Rs 1140 debited from a/c **9928 for Disney+ Hotstar,1139.74,entertainment
"Axis: Rs 7,889.82 debited from a/c **4257 for KSEB",7889.82,bills_electricity
"Rs 2,309.35/- debited Carnival Cinemas SBI",2309.35,entertainment
"SBI: Rs.7,210.58 paid to UHBVN via UPI Ref 824652824",7210.58,bills_electricity
"Salary for Jan - Rs 145,579.48 from Google India",145579.48,salary
ICICI Debit: Rs 1028 to lakmesalon@axl UPI,1027.69,personal_care
HDFC SMS: INR 6318 DEBITED UPI TXN TO GIFTCARD@ICICI,6318.29,gifts
"Payment of Rs 25,169 to consulting fee successful",25169.49,freelance
"PhonePe: Rs 1,815 paid to Adani Electricity",1814.98,bills_electricity
"Rs 14,222.80/- debited Shoppers Stop Yes Bank",14222.8,shopping_offline
"Axis Debit: Rs 10,310 to chumbak@icici UPI",10309.99,shopping_online
"Municipal Water - Rs.1,497 paid via UPI",1497.11,bills_water
RS 9558/-/- DEBITED ARCHIES HDFC,9557.95,gifts
"BOB Debit: Rs 4,019 to goldsgym@sbi UPI",4018.79,health_fitness
"bses rajdhani - rs.2,555.27 paid via upi",2555.27,bills_electricity
Rs 515/-/- debited KFC Axis,515.4,food_delivery
"Canara UPI: Rs 2,095 to pspcl@axl",2094.82,bills_electricity
"BOB: RS 25,106.89 NEFT TO LANDLORD",25106.89,rent
icici: rs 1153/- debited from a/c **5012 for barbeque nation,1152.92,food_delivery
"IndusInd SMS: INR 3,317 debited UPI txn to manipalhospi@ybl",3317.46,health_medical
"Country Delight - Rs..2,775.47 paid via UPI",2775.47,groceries
"canara: rs 1,408 debited from a/c **4657 for spotify",1407.74,entertainment
"RS 3,216/- DEBITED NATURALS SALON PNB",3215.76,personal_care
Canara CC: Cash deposit Rs 2775,2775.37,other
CARD **1409 used at development work for Rs.8741/-,8740.72,freelance
"RS 5,187/- DEBITED ARCHIES PNB",5187.06,gifts
"HDFC Alert: INR 3,932 spent at Talwalkars",3932.13,health_fitness
"Kuvera: SIP of Rs 53,846.77 dbtd",53846.77,investment
"Monthly rent Rs 24,132 paid via UPI",24131.82,rent
"KOTAK DEBIT: RS 3,058.52 TO BLUEDART@YBL UPI",3058.52,other
"Yes Bank CC: KSEB Rs 6,434",6434.45,bills_electricity
UPI: Rs 962 to appletv+@okhdfcbank for purchase,961.97,entertainment
"HDFC CC: MCGM Water Rs 1,076",1076.0,bills_water
"Kotak CC: Netmeds Rs 10,820.39",10820.39,health_medical
"Canara UPI: Rs 18,438.02 to codingninjas@kotak",18438.02,education
"Axis UPI: Rs. 16,166 to khanacademy@axisbank",16166.29,education
"Axis: Rs 1,686 dbtd for BB Daily purchase",1685.65,groceries
Yes Bank Alert: INR 332 spent at Strava,331.66,subscription
INDUSIND ALERT: INR 811.91 SPENT AT INOX,811.91,entertainment
SBI SMS: INR 1935 DEBITED UPI TXN TO CULTFIT@AXISBANK,1934.86,health_fitness
Payment of Rs 530.72 to JioCinema successful,530.72,entertainment
UPI: Rs 916 to hmwssb@okhdfcbank for purchase,916.36,bills_water
IndusInd: Rs 802/- debited for F45 Training purchase,802.39,health_fitness
"UPI: RS 1,213 TO DELHIJALBOAR@PAYTM FOR PURCHASE",1212.73,bills_water
PhonePe: Rs 683.91 paid to Ola,683.91,transport_ride
"Loan EMI Rs 18,737 paid to Tata Capital EMI",18736.69,emi
rs 1288/-/- debited bookmyshow icici,1287.91,entertainment
"Monthly rent Rs 37,268 paid via UPI",37268.45,rent
Coin by Zerodha - Rs 28749/- invested in mutual fund,28748.99,investment
hdfc sms: inr 24833/- debited upi txn to maxhospital@icici,24833.43,health_medical
"IndusInd UPI: Rs 6,508 to birthdaygift@kotak",6508.33,gifts
Axis SMS: INR 236.36 dbtd UPI txn to dropbox@axisbank,236.36,subscription
Hero FinCorp: EMI Rs 44275 debited,44274.78,emi
"HDFC UPI: Rs 25,682.91 to coursera@paytm",25682.91,education
"IndusInd: Rs 18,664.33 debited for Paytm Money MF purchase",18664.33,investment
"PNB Debit: Rs 3,130 to healthifyme@axisbank UPI",3129.69,health_fitness
"PhonePe: Rs 7,579.78 paid to Amazon Gift",7579.78,gifts
SBI: RS.1690 PAID TO DISNEY+ HOTSTAR VIA UPI REF 269837180,1690.26,entertainment
"UPI: Rs 1,451.30 to blusmart@axl for purchase",1451.3,transport_ride
Kotak UPI: Rs 11375 to fabhotels@okhdfcbank,11374.54,travel
PNB CC: Dr Lal PathLabs Rs 501.34,501.34,health_medical
HDFC Alert: INR 3492/- spent at Essar Petrol,3491.55,transport_fuel
CANARA: RS.532 PAID TO ZOMATO VIA UPI REF 812630453,531.81,food_delivery
